Y	X1	X2	X3	X4	X5	X6
17	7	48	39	32	17	0
25	12	86	20	26	22	2
52	68	90	84	87	34	12
39	83	99	20	19	23	16
37	89	22	25	58	17	18
26	75	37	1	5	7	16
34	57	86	3	52	27	11
6	6	1	52	14	2	2
57	96	97	63	64	33	19
39	42	29	71	74	21	8
26	10	7	34	95	19	3
42	95	18	87	54	12	19
26	63	58	63	46	20	11
37	94	38	33	31	14	20
49	90	41	93	88	25	17
38	19	88	55	99	35	4
22	40	28	91	20	8	8
55	75	75	88	84	31	15
35	70	58	34	48	20	13
38	32	85	80	63	29	4
55	85	94	69	83	35	16
24	45	90	9	1	17	10
21	14	72	89	25	18	2
22	96	19	61	23	6	19
14	73	6	60	18	4	14
12	34	3	23	11	2	6
31	41	67	27	84	30	7
30	48	53	33	13	12	9
43	50	58	81	96	32	9
18	3	8	94	73	16	1
27	51	47	37	11	12	10
41	65	39	68	73	22	12
43	98	67	36	9	16	21
32	60	17	55	41	11	13
17	17	35	5	51	17	3
36	88	12	97	75	16	17
23	63	27	15	2	5	12
28	86	21	42	24	9	17
36	85	25	9	85	21	16
27	60	44	23	32	14	10
29	24	39	24	77	22	6
53	90	38	91	65	21	19
41	51	90	85	57	30	8
32	6	25	60	64	17	0
50	82	98	68	56	31	15
