St 	At 	Pt 	Et 	At-1 	Pt-1 
20.11371 	1.98786 	1.0 	0.30 	2.01722 	0.0 
15.10439 	1.94418 	0.0 	0.30 	1.98786 	1.0 
18.68375 	2.19954 	0.8 	0.35 	1.94418 	0.0 
16.05173 	2.00107 	0.0 	0.35 	2.19954 	0.8 
21.30101 	1.69292 	1.3 	0.30 	2.00107 	0.0 
17.85004 	1.74334 	0.3 	0.32 	1.69292 	1.3 
18.87558 	2.06907 	1.0 	0.31 	1.74334 	0.3 
21.26599 	1.01709 	1.0 	0.41 	2.06907 	1.0 
20.48473 	2.01906 	0.9 	0.45 	1.01709 	1.0 
20.54032 	1.06139 	1.0 	0.45 	2.01906 	0.9 
26.18441 	1.45999 	1.5 	0.50 	1.06139 	1.0 
21.71606 	1.87511 	0.0 	0.60 	1.45999 	1.5 
28.69595 	2.27109 	0.8 	0.65 	1.87511 	0.0 
25.83720 	1.11191 	1.0 	0.65 	2.27109 	0.8 
29.31987 	1.77407 	1.2 	0.65 	1.11191 	1.0 
24.19041 	0.95878 	1.0 	0.65 	1.77407 	1.2 
26.58966 	1.98930 	1.0 	0.62 	0.95878 	1.0 
22.24466 	1.97111 	0.0 	0.60 	1.98930 	1.0 
24.79944 	2.26603 	0.7 	0.60 	1.97111 	0.0 
21.19105 	1.98346 	0.1 	0.61 	2.26603 	0.7 
26.03441 	2.10054 	1.0 	0.60 	1.98346 	0.1 
27.39304 	1.06815 	1.0 	0.58 	2.10054 	1.0 
