ACHV	FAM	PEER	SCHOOL
-0.43148 	0.60814 	0.03509 	0.16607
0.79969 	0.79369 	0.47924 	0.53356
-0.92467 	-0.82630 	-0.61951 	-0.78635
-2.19081 	-1.25310 	-1.21675 	-1.04076
-2.84818 	0.17399 	-0.18517 	0.14229
-0.66233 	0.20246 	0.12764 	0.27311
2.63674 	0.24184 	-0.09022 	0.04967
2.35847 	0.59421 	0.21750 	0.51876
-0.91305 	-0.61561 	-0.48971 	-0.63219
0.59445 	0.99391 	0.62228 	0.93368
1.21073 	1.21721 	1.00627 	1.17381
1.87164 	0.41436 	0.71103 	0.58978
-0.10178 	0.83782 	0.74281 	0.72154
-2.87949 	-0.75512 	-0.64411 	-0.56986
3.92590 	-0.37407 	-0.13787 	-0.21770
4.35084 	1.40353 	1.14085 	1.37147
1.57922 	1.64194 	1.29229 	1.40269
3.95689 	-0.31304 	-0.07980 	-0.21455
1.09275 	1.28525 	1.22441 	1.20428
-0.62389 	-1.51938 	-1.27565 	-1.36598
-0.63654 	-0.38224 	-0.05353 	-0.35560
-2.02659 	-0.19186 	-0.42605 	-0.53718
-1.46692 	1.27649 	0.81427 	0.91967
3.15078 	0.52310 	0.30720 	0.47231
-2.18938 	-1.59810 	-1.01572 	-1.48315
1.91715 	0.77914 	0.87771 	0.76496
-2.71428 	-1.04745 	-0.77536 	-0.91397
-6.59852 	-1.63217 	-1.47709 	-1.71347
0.65101 	0.44328 	0.60956 	0.32833
-0.13772 	-0.24972 	0.07876 	-0.17216
-2.43959 	-0.33480 	-0.39314 	-0.37198
-3.27802 	-0.20680 	-0.13936 	0.05626
-2.48058 	-1.99375 	-1.69587 	-1.87838
1.88639 	0.66475 	0.79670 	0.69865
5.06459 	-0.27977 	0.10817 	-0.26450
1.96335 	-0.43990 	-0.66022 	-0.58490
0.26274 	-0.05334 	-0.02396 	-0.16795
-2.94593 	-2.06699 	-1.31832 	-1.72082
-1.38628 	-1.02560 	-1.15858 	-1.19420
-0.20797 	0.45847 	0.21555 	0.31347
-1.07820 	0.93979 	0.63454 	0.69907
-1.66386 	-0.93238 	-0.95216 	-1.02725
0.58117 	-0.35988 	-0.30693 	-0.46232
1.37447 	-0.00518 	0.35985 	0.02485
-2.82687 	-0.18892 	-0.07959 	0.01704
3.86363 	0.87271 	0.47644 	0.57036
-2.64141 	-2.06993 	-1.82915 	-2.16738
0.05387 	0.32143 	-0.25961 	0.21632
0.50763 	-1.42382 	-0.77620 	-1.07473
0.64347 	-0.07852 	-0.21347 	-0.11750
2.49414 	-0.14925 	-0.03192 	-0.36598
0.61955 	0.52666 	0.79149 	0.71369
0.61745 	-1.49102 	-1.02073 	-1.38103
-1.00743 	-0.94757 	-1.28991 	-1.24799
-0.37469 	0.24550 	0.83794 	0.59596
-2.52824 	-0.41630 	-0.60312 	-0.34951
0.02372 	1.38143 	1.54542 	1.59429
2.51077 	1.03806 	0.91637 	0.97602
-4.22716 	-0.88639 	-0.47652 	-0.77693
1.96847 	1.08655 	0.65700 	0.89401
1.25668 	-1.95142 	-1.94199 	-1.89645
-0.16848 	2.83384 	2.47398 	2.79222
-0.34158 	1.86753 	1.55229 	1.80057
-2.23973 	-1.11172 	-0.69732 	-0.80197
3.62654 	1.41958 	1.11481 	1.24558
0.97034 	0.53940 	0.16182 	0.33477
3.16093 	0.22491 	0.74800 	0.66182
-1.90801 	1.48244 	1.47079 	1.54283
0.64598 	2.05425 	1.80369 	1.90066
-1.75915 	1.24058 	0.64484 	0.87372
